"","x"
"11536","RNU7-87P"
"11537","PCDH9-AS2"
"11538","PLAG1"
"11539","RPS4XP19"
"11540","NDUFB9P2"
"11541","PTMAP10"
"11542","PCDH9-AS3"
"11543","MYO1G"
"11544","SPATA31A5"
"11545","RNU5F-3P"
"11546","MIR3976"
"11547","TMEM200C"
"11548","LINC02337"
"11549","GRP"
"11550","CHCHD7"
"11551","LINC00904"
"11552","FKTN"
"11553","RBM19"
"11554","ZNF792"
"11555","RNU6-339P"
"11556","RNU6-796P"
"11557","RAX"
"11558","UBE3A"
"11559","MIR6887"
"11560","CPLX4"
"11561","LGI4"
"11562","CBY1P1"
"11563","TBR1"
"11564","LMAN1"
"11565","HNRNPA1P20"
"11566","NAALADL2-AS2"
"11567","POLR2L"
"11568","MECOM"
"11569","CHID1"
"11570","COX18"
"11571","NDRG1"
"11572","FIGN"
"11573","MTND2P19"
"11574","EDDM3CP"
"11575","RPSAP27"
"11576","MTCO1P7"
"11577","LINC01832"
"11578","RPS26P54"
"11579","GLUD1P4"
"11580","CCBE1"
"11581","MYOZ2"
"11582","ALDH7A1P2"
"11583","SMIM2-AS1"
"11584","BMS1P19"
"11585","PPIAP66"
"11586","AKR1D1"
"11587","RPL27AP4"
"11588","EXTL2P1"
"11589","MTCO1P45"
"11590","FXYD7"
"11591","MTND1P27"
"11592","MOB1B"
"11593","ADAM23"
"11594","SLC14A1"
"11595","MIR5695"
"11596","FARSA"
"11597","RNY3P12"
"11598","MAP2K4"
"11599","FBXO10"
"11600","NPAP1P2"
"11601","PGGT1BP2"
"11602","BMS1P21"
"11603","LINC01052"
"11604","SFTPD"
"11605","ODAPH"
"11606","LINC03032"
"11607","LINC01150"
"11608","MRPL23"
"11609","MIR548T"
"11610","HMGB2"
"11611","ING3"
"11612","SFTPD-AS1"
"11613","PIWIL3"
"11614","ZNRF2P3"
"11615","DPY19L2P5"
"11616","CPEB4"
"11617","C1DP3"
"11618","LRRC10"
"11619","TMEM254"
"11620","PRDX3P3"
"11621","LINC00437"
"11622","AMDHD1"
"11623","ATP23"
"11624","BCRP9"
"11625","COX7CP1"
"11626","PWWP2AP1"
"11627","OR7E33P"
"11628","OGFOD1P1"
"11629","LINC02403"
"11630","GIHCG"
"11631","RFPL2"
"11632","RN7SKP65"
"11633","TOMM5"
"11634","PAH"
"11635","RPL7AP73"
"11636","NUS1P2"
"11637","SAP30"
"11638","OR7E36P"
"11639","OR7E155P"
"11640","RNU11-2P"
"11641","MIR744"
"11642","PPIAP28"
"11643","ARHGAP44-AS1"
"11644","P2RX6"
"11645","SCRG1"
"11646","SLC25A15P3"
"11647","MIR1269B"
"11648","RAB1C"
"11649","FRMPD1"
"11650","PHLDA2"
"11651","GAPDHP52"
"11652","MRPL23-AS1"
"11653","CARS1"
"11654","RPL5P11"
"11655","ELAC2"
"11656","LINC01219"
"11657","RNU6-1096P"
"11658","HAND2"
"11659","H19"
"11660","LINC01854"
"11661","RPL17P15"
"11662","MORF4"
"11663","PPP1R2P10"
"11664","RANP6"
"11665","GAPDHP22"
"11666","NACAP5"
"11667","UBAC2-AS1"
"11668","MED28"
"11669","RPS20P12"
"11670","KRT18P46"
"11671","ZP3P2"
"11672","LINC01790"
"11673","TAS2R5"
"11674","PPIAP26"
"11675","TMEM163"
"11676","TMEM229A"
"11677","FARSA-AS1"
"11678","MIR6515"
"11679","HMGN1P18"
"11680","CYP4F34P"
"11681","RAD23A"
"11682","ANKRD20A9P"
"11683","FAM184B"
"11684","MTCO1P55"
"11685","BPGM"
"11686","RPL22P18"
"11687","MACROH2A2"
"11688","RN7SKP171"
"11689","TRMT10B"
"11690","LY75-CD302"
"11691","AGK"
"11692","PSPC1P1"
"11693","PPIAP25"
"11694","SLC25A30-AS1"
"11695","ATP5MC1P5"
"11696","ARGLU1-DT"
"11697","NCAPG"
"11698","MEA1"
"11699","WDR95P"
"11700","NOPCHAP1"
"11701","ANKRD26P3"
"11702","RRP36"
"11703","SLC6A17"
"11704","NDST1"
"11705","KCNJ5"
"11706","SIGLEC15"
"11707","SUDS3"
"11708","RN7SL403P"
"11709","NPFFR1"
"11710","GAPDHP64"
"11711","KLC4"
"11712","RNPC3"
"11713","GADD45GIP1"
"11714","RPS12P27"
"11715","MLLT10"
"11716","TMEM150B"
"11717","RNU6-876P"
"11718","MIR675"
"11719","ESRP2"
"11720","PSTPIP2"
"11721","C11ORF65"
"11722","MYF5"
"11723","LINC00384"
"11724","KRT18P63"
"11725","LINC00385"
"11726","NOCT"
"11727","KATNAL1"
"11728","BBS10"
"11729","TAS2R7"
"11730","TAS2R8"
"11731","EXOSC3"
"11732","TAS2R9"
"11733","SLC16A8"
"11734","RPL23AP67"
"11735","PRR4"
"11736","CRADD"
"11737","RNU6-531P"
"11738","RN7SL382P"
"11739","PPP1R14BP3"
"11740","RN7SL311P"
"11741","RNU6-506P"
"11742","RNF130"
"11743","RNU6-1074P"
"11744","MGARP"
"11745","RN7SKP26"
"11746","RNY4P37"
"11747","ATP5F1A"
"11748","DCAF10"
"11749","TMEM121B"
"11750","ARHGEF9-IT1"
"11751","BTF3P8"
"11752","MIR1468"
"11753","ZCCHC18"
"11754","KMT5C"
"11755","IL17RA"
"11756","NDUFC1"
"11757","PAGE5"
"11758","SNX7"
"11759","OR10D4P"
"11760","CRYAB"
"11761","RNU6-64P"
"11762","PRDX2P1"
"11763","LINC00427"
"11764","LINC00426"
"11765","TPT1P2"
"11766","MTND2P20"
"11767","RPL15P5"
"11768","MIR6773"
"11769","PLA2G15"
"11770","CWC22"
"11771","CCDC60"
"11772","TAS2R10"
"11773","TAF7L"
"11774","TAS2R12P"
"11775","TAS2R13"
"11776","PAICSP1"
"11777","PRH2"
"11778","SLC25A51"
"11779","SHB"
"11780","SEC22B"
"11781","TAS2R14"
"11782","PTGFRN"
"11783","LINC01058"
"11784","TAS2R15P"
"11785","UBE2L5"
"11786","RNU7-124P"
"11787","TAS2R50"
"11788","NUDT4"
"11789","TAS2R20"
"11790","AIF1L"
"11791","TAS2R19"
"11792","TMEM272"
"11793","TAS2R31"
"11794","COX6B2"
"11795","TAS2R63P"
"11796","TAS2R46"
"11797","TAS2R64P"
"11798","TAS2R43"
"11799","TAS2R68P"
"11800","TAS2R45"
"11801","FGF14-AS1"
"11802","TAS2R30"
"11803","RNU6-1214P"
"11804","ZFX"
"11805","ZNF326"
"11806","FGF14-AS2"
"11807","TAS2R18P"
"11808","SLBP"
"11809","SMIM10L1"
"11810","LINC00555"
"11811","RPL31P62"
"11812","IL4"
"11813","HDHD5"
"11814","METTL21EP"
"11815","MIR17HG"
"11816","SLC7A6"
"11817","DDX5P1"
"11818","HSPE1P9"
"11819","MAP3K13"
"11820","MIR17"
"11821","MIR18A"
"11822","MIR19A"
"11823","MIR20A"
"11824","MIR19B1"
"11825","MIR92A1"
"11826","NEK3"
"11827","HECW2"
"11828","INSIG1"
"11829","GARIN5B"
"11830","HSPB2"
"11831","HSPB2-C11ORF52"
"11832","TRIM45"
"11833","C11ORF52"
"11834","IL11"
"11835","RPL13AP13"
"11836","RNU6-881P"
"11837","HSPA8P4"
"11838","DIXDC1"
"11839","RASGEF1C"
"11840","LAMC3"
"11841","IMPDH1P3"
"11842","RPL7P59"
"11843","POLR2DP2"
"11844","ACTR3B"
"11845","HAUS1"
"11846","RPS26P15"
"11847","LETM1"
"11848","NBPF17P"
"11849","TMEM190"
"11850","CBY1"
"11851","SSX1"
"11852","DRAM1"
"11853","TMEM238"
"11854","RPL28"
"11855","SEPTIN2P1"
"11856","PFDN1P2"
"11857","ALPK3"
"11858","LINC02788"
"11859","CD38"
"11860","VPS25P1"
"11861","TENT5C"
"11862","ZNF81"
"11863","MTND5P20"
"11864","SYCP1"
"11865","SRRM4"
"11866","MID2"
"11867","KCNQ1"
"11868","SNORD62A"
"11869","SNORD62B"
"11870","UCK1"
"11871","TRPS1"
"11872","HS3ST3A1"
"11873","RBFOX2"
"11874","VEPH1"
"11875","KCNQ1-AS1"
"11876","MIR548H3"
"11877","AVEN"
"11878","NAP1L4"
"11879","COX10"
"11880","PRB1"
"11881","CHD8"
"11882","TSPAN8"
"11883","CHRM5"
"11884","RNU6-1278P"
"11885","MTND2P5"
"11886","EPG5"
"11887","AKR1B1"
"11888","ZFP2"
"11889","PRB3"
"11890","FAM227B"
"11891","RNU6-1262P"
"11892","SLC7A6OS"
"11893","MRPL2"
"11894","MIR6805"
"11895","HPRT1P1"
"11896","UBE2S"
"11897","FGFBP1"
"11898","RNA5SP351"
"11899","PPIHP1"
"11900","RNU6-893P"
"11901","NKAPD1"
"11902","FGFBP2"
"11903","SEMA5A-AS1"
"11904","TEX11"
"11905","TAS2R42"
"11906","ARL2BPP4"
"11907","EPC1"
"11908","INTS6P1"
"11909","RNU4-30P"
"11910","SMPD3"
"11911","PROM1"
"11912","ISOC2"
"11913","SNORA74"
"11914","CDRT15"
"11915","GREB1L"
"11916","PIP5K1A"
"11917","RPL10P12"
"11918","SETP7"
"11919","NENFP2"
"11920","RPL29P26"
"11921","FAM74A3"
"11922","HS3ST3B1"
"11923","MIR2278"
"11924","MIR6081"
"11925","C1QTNF2"
"11926","MIR23B"
"11927","MIR27B"
"11928","MIR3074"
"11929","MIR24-1"
"11930","PTK7"
"11931","RNA5SP288"
"11932","RNA5SP296"
"11933","RPS18P12"
"11934","AK1"
"11935","RPL23AP76"
"11936","CDRT7"
"11937","PRPSAP1"
"11938","GALNT10"
"11939","PPP3CC"
"11940","TIMM8B"
"11941","ZNF628-DT"
"11942","NAT14"
"11943","TEX12"
"11944","PRB4"
"11945","DTWD1"
"11946","CASP4LP"
"11947","PRH1"
"11948","SSC5D"
"11949","CASP12"
"11950","RPL35AP33"
"11951","BCO2"
"11952","RNU4-36P"
"11953","MLYCD"
"11954","SQSTM1"
"11955","SLC49A4"
"11956","RUFY1"
"11957","TIMM23B"
"11958","OSGIN1"
"11959","EI24P4"
"11960","TMEM213"
"11961","CABCOCO1"
"11962","ASXL3"
"11963","CHST2"
"11964","UTP20"
"11965","MTCYBP37"
"11966","SBK2"
"11967","TMEM174"
"11968","TRIM24"
"11969","MSANTD7"
"11970","RNU6-24P"
"11971","SBK3"
"11972","SEMA5B"
"11973","RPS15AP18"
"11974","RN7SKP73"
"11975","SPHK1"
"11976","MIR4458"
"11977","RNU1-76P"
"11978","SNORD123"
"11979","RNA5SP177"
"11980","MIR4636"
"11981","MIR887"
"11982","RNU6-679P"
"11983","MIR422A"
"11984","RNA5SP178"
"11985","RNU6-660P"
"11986","ZNF579"
"11987","RN7SL58P"
"11988","SNORD81"
"11989","SNX1"
"11990","RNU4-43P"
"11991","RNU6-374P"
"11992","RN7SKP207"
"11993","RNU6-1079P"
"11994","FIZ1"
"11995","HSPA9P1"
"11996","NUTM2D"
"11997","RNU6-378P"
"11998","MIR579"
"11999","SNORD29"
"12000","MIR4672"
"12001","GPR174"
"12002","RNU6-358P"
"12003","ST6GALNAC4"
"12004","RNU6-760P"
"12005","MIR4279"
"12006","RFTN2"
"12007","RNU6-909P"
"12008","SEPTIN6"
"12009","MIR3650"
"12010","RNU7-130P"
"12011","RNU1-150P"
"12012","RNU6-480P"
"12013","RNA5SP432"
"12014","RNU6-1296P"
"12015","RNU6-272P"
"12016","MIR581"
"12017","RN7SL801P"
"12018","RNA5SP185"
"12019","RNA5SP182"
"12020","ZNF524"
"12021","RNU6ATAC2P"
"12022","HSDL1"
"12023","MIR449A"
"12024","MIR449B"
"12025","MIR449C"
"12026","RNU6-299P"
"12027","AP3M1"
"12028","RNA5SP184"
"12029","MIR5687"
"12030","RN7SL169P"
"12031","RNU6-294P"
"12032","RNU6-913P"
"12033","MIR4803"
"12034","ZNF784"
"12035","RNU7-196P"
"12036","LINC02825"
"12037","RNU4-11P"
"12038","RN7SL378P"
"12039","LINC02350"
"12040","RN7SKP295"
"12041","RNU6-620P"
"12042","MIR3660"
"12043","RN7SKP34"
"12044","MIR4280"
"12045","RNU6-448P"
"12046","RNU6-804P"
"12047","SNORD138"
"12048","RN7SL802P"
"12049","MIR548P"
"12050","ZNF580"
"12051","RNU6-1119P"
"12052","RN7SKP62"
"12053","RN7SKP68"
"12054","RNU4-90P"
"12055","GDAP2"
"12056","RNU6-47P"
"12057","RN7SKP230"
"12058","MYO3B-AS1"
"12059","RN7SKP57"
"12060","RNA5SP188"
"12061","RNU1-140P"
"12062","RNU6-644P"
"12063","MIR1244-2"
"12064","RN7SL711P"
"12065","RN7SL174P"
"12066","MIR548F3"
"12067","SNORA13"
"12068","RNU6-752P"
"12069","ZNF581"
"12070","RNU6-373P"
"12071","RNU6-701P"
"12072","MIR5706"
"12073","RNU7-53P"
"12074","RNU6-718P"
"12075","RNA5SP189"
"12076","MIR4460"
"12077","RN7SL689P"
"12078","RNU6-290P"
"12079","FNTA"
"12080","RNU4-69P"
"12081","RNU6ATAC10P"
"12082","RNA5SP191"
"12083","HERC4"
"12084","RNU7-34P"
"12085","CCDC106"
"12086","RN7SL87P"
"12087","RN7SKP246"
"12088","RNU7-156P"
"12089","PIP5KL1"
"12090","AP2A2"
"12091","RNU6-588P"
"12092","RNU6-390P"
"12093","RN7SL655P"
"12094","MIR378A"
"12095","MIR3142"
"12096","MIR146A"
"12097","RNA5SP194"
"12098","RNU6-164P"
"12099","RNU6-260P"
"12100","RN7SL868P"
"12101","MIR1294"
"12102","RN7SKP60"
"12103","RNU2-48P"
"12104","RNU6-500P"
"12105","DNAAF1"
"12106","RNA5SP200"
"12107","RNU6-209P"
"12108","MIR8056"
"12109","RNU6-168P"
"12110","LGR5"
"12111","MIR5003"
"12112","RNU1-17P"
"12113","PARAL1"
"12114","MIR8089"
"12115","RNU6-525P"
"12116","ANKEF1"
"12117","MIR340"
"12118","RNU6-1036P"
"12119","SLC34A1"
"12120","KDM7A"
"12121","UBE2O"
"12122","NEFHP1"
"12123","VDAC2P3"
"12124","FTLP17"
"12125","HIGD1AP12"
"12126","LPIN2"
"12127","TSHB"
"12128","INHBB"
"12129","WDR3"
"12130","LNPK"
"12131","ADAD2"
"12132","KCTD9P4"
"12133","DPM2"
"12134","MRPS36P4"
"12135","CDKN1C"
"12136","RPS12P21"
"12137","RNU1-124P"
"12138","PTS"
"12139","GGT5"
"12140","HGSNAT"
"12141","MACC1"
"12142","PRDX2P3"
"12143","RUFY1-AS1"
"12144","EPN1"
"12145","OCSTAMP"
"12146","CBY3"
"12147","SLC13A3"
"12148","RPL7P49"
"12149","CARS1-AS1"
"12150","CANX"
"12151","CYGB"
"12152","COX6CP18"
"12153","RNU6-1025P"
"12154","MUC6"
"12155","SLC22A18"
"12156","EEIG1"
"12157","SLC38A8"
"12158","PFN3"
"12159","AKR1B10"
"12160","SNX22"
"12161","GRK6"
"12162","PRCD"
"12163","PSMC1P12"
"12164","SCNM1"
"12165","RPS6P16"
"12166","PLET1"
"12167","ITGAM"
"12168","ST13P10"
"12169","ATR"
"12170","NLRP9"
"12171","CSNK1G1"
"12172","PRXL2C"
"12173","MALT1"
"12174","RPL21P73"
"12175","EIF4EP4"
"12176","DPY19L4P2"
"12177","FMC1"
"12178","IL17REL"
"12179","SNORD1C"
"12180","UBE2L3"
"12181","SNORD1B"
"12182","SNORD1A"
"12183","ST6GALNAC2"
"12184","CHCHD3"
"12185","RN7SKP109"
"12186","RFPL4AL1"
"12187","RFPL4AP1"
"12188","ZNF782"
"12189","YWHAEP5"
"12190","RPS15AP9"
"12191","PIWIL1"
"12192","MTIF2P1"
"12193","RPL23AP28"
"12194","GAMT"
"12195","SRGAP2C"
"12196","VN1R46P"
"12197","MTCO2P7"
"12198","ZNF385B"
"12199","RPL32P5"
"12200","FAM32BP"
"12201","AFG3L2P1"
"12202","SLC22A18AS"
"12203","CECR9"
"12204","RN7SL843P"
"12205","POTEA"
"12206","ADA2"
"12207","PTMAP11"
"12208","NUTM2G"
"12209","KCNQ1DN"
"12210","SNORA54"
"12211","ST6GALNAC1"
"12212","NDUFB10P2"
"12213","ZNHIT1"
"12214","FHL1"
"12215","SPAG17"
"12216","RNU6-104P"
"12217","PPDPFL"
"12218","DENND2A"
"12219","RALB"
"12220","IQSEC3-AS2"
"12221","YRDCP2"
"12222","PAPPA-AS2"
"12223","IQSEC3"
"12224","SNORD8"
"12225","PAPPA-AS1"
"12226","EIF4EBP1P1"
"12227","RN7SL650P"
"12228","RAB2B"
"12229","RPL10P3"
"12230","SNORA70C"
"12231","RN7SKP128"
"12232","RN7SKP125"
"12233","MIR4478"
"12234","NDUFA8"
"12235","GCNT7"
"12236","HRH3"
"12237","DAZAP1"
"12238","MORN5"
"12239","DLGAP2"
"12240","ADGRD1"
"12241","OR4C50P"
"12242","OR4C46"
"12243","OR4C7P"
"12244","OR4R2P"
"12245","OR4A4P"
"12246","OR4A3P"
"12247","OR4A2P"
"12248","RBM18"
"12249","OR52L1"
"12250","RALGAPA2"
"12251","KRT18P58"
"12252","RNA5SP329"
"12253","OR56A7P"
"12254","OR52X1P"
"12255","OR56B4"
"12256","OR56B3P"
"12257","IQSEC3-AS1"
"12258","OR52L2P"
"12259","OR52Z1P"
"12260","WASH8P"
"12261","OR5AK1P"
"12262","OR5BQ1P"
"12263","RNU6ATAC12P"
"12264","OR8B7P"
"12265","RNU6-366P"
"12266","OR8B6P"
"12267","MRRF"
"12268","TTF2"
"12269","OR8B5P"
"12270","SLC24A4"
"12271","OR8C1P"
"12272","OR8X1P"
"12273","OR8A2P"
"12274","OR8B10P"
"12275","OR8A3P"
"12276","ELOA3DP"
"12277","ELOA3BP"
"12278","ELOA3P"
"12279","SERPINB7"
"12280","OR8A1"
"12281","MIR1343"
"12282","CD44-AS1"
"12283","OR52Q1P"
"12284","GUCY1A2"
"12285","RNU6-227P"
"12286","ELOAP1"
"12287","RNY4P36"
"12288","MIR636"
"12289","RNU6-97P"
"12290","ARL4C"
"12291","RHBDF2"
"12292","SRSF3P6"
"12293","POMK"
"12294","IDI1P1"
"12295","VPS26CP1"
"12296","EDAR"
"12297","ITGAX"
"12298","UBE2WP1"
"12299","SLC6A17-AS1"
"12300","SVOPL"
"12301","PRR7"
"12302","MAGI3"
"12303","RPS6P22"
"12304","LRIG3-DT"
"12305","SERPINB2"
"12306","DDX41"
"12307","SLC37A2"
"12308","ERGIC3"
"12309","RPL7AP25"
"12310","LINC01014"
"12311","PHF20L1"
"12312","C19ORF25"
"12313","ACTG1P23"
"12314","RNF103-CHMP3"
"12315","MAML1"
"12316","SLC33A1"
"12317","ICOS"
"12318","LTC4S"
"12319","MPDZ"
"12320","MKLN1"
"12321","TPM3P8"
"12322","RN7SL477P"
"12323","SRF"
"12324","MDH1B"
"12325","RPL28P1"
"12326","MBD3"
"12327","MTCH2P1"
"12328","RASA2-IT1"
"12329","PSMA3"
"12330","PCBP2P4"
"12331","EIF2AK1P1"
"12332","RPL32P8"
"12333","NGRNP1"
"12334","WWTR1-IT1"
"12335","CUL9"
"12336","TM4SF4"
"12337","MGAT4B"
"12338","LINC02557"
"12339","IGLL1"
"12340","TAPT1"
"12341","TLCD5"
"12342","SNHG20"
"12343","POM121L7P"
"12344","GHSR"
"12345","E2F6P2"
"12346","LRRC74B"
"12347","MXI1"
"12348","SNRNP40P1"
"12349","ITGAD"
"12350","NDUFB4P1"
"12351","HMSD"
"12352","GPR149"
"12353","POLDIP3"
"12354","SERPINB8"
"12355","RPL21P42"
"12356","PAQR9-AS1"
"12357","USP47"
"12358","EI24P1"
"12359","PPIAP75"
"12360","GABPB2"
"12361","ADIPOQ-AS1"
"12362","SETP14"
"12363","OPA1-AS1"
"12364","CLSTN2"
"12365","PRXL2AP1"
"12366","LSM3P2"
"12367","ZNF10"
"12368","MREGP1"
"12369","PPIAP65"
"12370","TXNL4AP1"
"12371","CDK4P1"
"12372","BARD1"
"12373","TXNP3"
"12374","RPS29P29"
"12375","SEC14L1"
"12376","LYSMD1"
"12377","COX6A2"
"12378","NMNAT1P3"
"12379","SINHCAF"
"12380","ELOCP19"
"12381","KLHL24"
"12382","PNRC2P1"
"12383","ZNF843"
"12384","CD2"
"12385","RPS3AP28"
"12386","COPG2"
"12387","APC2"
"12388","ARMC5"
"12389","MIR2054"
"12390","NUP58P1"
"12391","AFG2A"
"12392","LINC02799"
"12393","PPIAP7"
"12394","OR10AE1P"
"12395","ENPP2"
"12396","GPR89A"
"12397","TIGD6"
"12398","UBA52P7"
"12399","RPL13AP22"
"12400","KRT18P60"
"12401","FLJ13224"
"12402","ARL1"
"12403","HMGXB3"
"12404","RPL12P39"
"12405","PCLAF"
"12406","ACAA2"
"12407","RAB5IF"
"12408","TGFB1I1"
"12409","SPRY1"
"12410","HMGB1P14"
"12411","SLC9A3P2"
"12412","LINC00216"
"12413","ABHD17AP4"
"12414","RPS20P4"
"12415","RNU6-341P"
"12416","CSF1R"
"12417","PI4KA"
"12418","ARID4A"
"12419","DNPH1"
"12420","RPL17P20"
"12421","EEF1A1P45"
"12422","RN7SL492P"
"12423","WWTR1-AS1"
"12424","RN7SL357P"
"12425","NOA1"
"12426","IL17RD"
"12427","UBE2V1"
"12428","KCNQ5-DT"
"12429","MIR4282"
"12430","KNOP1P4"
"12431","PGAM1P10"
"12432","RBPMS2P1"
"12433","KHDC1P1"
"12434","POLR2B"
"12435","KHDC1L"
"12436","SDCBP2P1"
"12437","PAICSP3"
"12438","PRELID2P1"
"12439","DPPA5"
"12440","TRIP4"
"12441","KHDC3L"
"12442","ALKBH2"
"12443","RPL39P3"
"12444","RPS6P8"
"12445","ELF5"
"12446","DDX43"
"12447","DNAH10"
"12448","VIPR2"
"12449","SCARNA17"
"12450","RNA5SP457"
"12451","ADAD1P2"
"12452","MIR4320"
"12453","RN7SL310P"
"12454","CFAP53"
"12455","MIR1229"
"12456","MRNIP"
"12457","TAOK3"
"12458","GUCA1B"
"12459","CXXC1"
"12460","ABCB7"
"12461","CRYBG1"
"12462","GAPDHP61"
"12463","RPL7P1"
"12464","PDGFRB"
"12465","CCDC92"
"12466","ADAM33"
"12467","PAK1"
"12468","RNA5SP211"
"12469","CTB-30L5.1"
"12470","RTN4IP1"
"12471","MRM3P2"
"12472","COL28A1"
"12473","E2F6P3"
"12474","PPP1R26P5"
"12475","RNU6-527P"
"12476","LINC01651"
"12477","NR1H5P"
"12478","QRSL1"
"12479","RN7SL796P"
"12480","DNAH10OS"
"12481","MTCO2P21"
"12482","PFN1P12"
"12483","RN7SL628P"
"12484","SUSD2P1"
"12485","CSF1"
"12486","RN7SKP63"
"12487","HIC2"
"12488","RN7SL82P"
"12489","FDPSP4"
"12490","RPL21P65"
"12491","RNU6-117P"
"12492","MIR587"
"12493","SNORA40C"
"12494","UBR1"
"12495","RNU6-1115P"
"12496","GTF3C6"
"12497","ANKRD49P1"
"12498","PSMD14P1"
"12499","RPF2"
"12500","DNAJC13"
"12501","RN7SKP210"
"12502","UQCRFS1P1"
"12503","MTND4P28"
"12504","GRAP2"
"12505","MTATP6P7"
"12506","RNF14P1"
"12507","SMC4P1"
"12508","OR7D1P"
"12509","OR7E18P"
"12510","OR7H1P"
"12511","ZNF699"
"12512","RPS6P2"
"12513","UBE2E3"
"12514","RNU6-998P"
"12515","IGFBP7"
"12516","UBXN2AP1"
"12517","ZNF560"
"12518","HECTD2"
"12519","GSTM2P1"
"12520","RNU6-824P"
"12521","MIR1273C"
"12522","TFB1M"
"12523","UBE2CP3"
"12524","ERAP1"
"12525","REST"
"12526","TOMM20L"
"12527","CLDN20"
"12528","ZSCAN5DP"
"12529","NOX3"
"12530","PIP5K1P2"
"12531","EDDM13"
"12532","MIR4656"
"12533","MIR3683"
"12534","RNU6-534P"
"12535","RN7SKP228"
"12536","LETM2"
"12537","RNU1-15P"
"12538","MIR1183"
"12539","RN7SL542P"
"12540","SNORD65C"
"12541","RNU6-1103P"
"12542","TIMM9"
"12543","MIR550A1"
"12544","MIR550B1"
"12545","RNU6-438P"
"12546","VN2R17P"
"12547","MIR550A2"
"12548","RN7SKP186"
"12549","MIR550B2"
"12550","RN7SL132P"
"12551","DDR1-DT"
"12552","MIR1200"
"12553","RNU6-565P"
"12554","MIR4640"
"12555","GTF2H4"
"12556","MIR3943"
"12557","RNU7-35P"
"12558","RNU6-575P"
"12559","SNORA5A"
"12560","SNORA5C"
"12561","SNORA5B"
"12562","SNORA9"
"12563","RN7SKP218"
"12564","RN7SL292P"
"12565","SLC25A36P1"
"12566","RNU2-29P"
"12567","RNU1-14P"
"12568","SNORA22B"
"12569","RNU6-1125P"
"12570","RNU6-1052P"
"12571","ZNF583"
"12572","RNU6-1335P"
"12573","RNU6-417P"
"12574","SLC5A2"
"12575","SNORA22"
"12576","YPEL5P3"
"12577","SNORA15B-2"
"12578","RNU6-912P"
"12579","RNA5SP231"
"12580","RNU6-973P"
"12581","RNU6-313P"
"12582","ASCL1"
"12583","RNA5SP234"
"12584","RNU6-849P"
"12585","RNU6-10P"
"12586","TMA7B"
"12587","RN7SKP129"
"12588","RNU4-16P"
"12589","IGHA2"
"12590","USP30"
"12591","RNU6-956P"
"12592","FAM246C"
"12593","RN7SKP104"
"12594","MIR5692A1"
"12595","MIR5692C2"
"12596","NFAM1"
"12597","RNA5SP235"
"12598","RNU6-532P"
"12599","RNU6-364P"
"12600","RN7SL478P"
"12601","MTATP6P14"
"12602","RNU7-188P"
"12603","NKAIN1P1"
"12604","TNFAIP8L2"
"12605","MIR591"
"12606","RN7SKP150"
"12607","RN7SL252P"
"12608","MRNIP-DT"
"12609","RNA5SP236"
"12610","SNORA25B"
"12611","IGHEP1"
"12612","RNU6-581P"
"12613","RN7SKP277"
"12614","TBC1D9B"
"12615","RNA5SP241"
"12616","MIR4653"
"12617","RNA5SP237"
"12618","IGHG3"
"12619","RNU1-29P"
"12620","TC2N"
"12621","RNA5SP240"
"12622","MIR3654"
"12623","RNU6-797P"
"12624","ATP6V1G1P1"
"12625","RN7SKP223"
"12626","MIR4468"
"12627","RNU6-911P"
"12628","RNU1-58P"
"12629","RNU4-74P"
"12630","IGHE"
"12631","RNA5SP247"
"12632","RNA5SP248"
"12633","COL5A3"
"12634","RNU6-267P"
"12635","ZNF280B"
"12636","RN7SKP174"
"12637","MPLKIP"
"12638","ELK2BP"
"12639","IGHA1"
"12640","ZNF280A"
"12641","THUMPD3P1"
"12642","KIAA0586"
"12643","ADK"
"12644","SUGCT-AS1"
"12645","PRAME"
"12646","IGHV1-3"
"12647","FMO8P"
"12648","MPC2"
"12649","SLC12A5"
"12650","IGHV4-39"
"12651","SCARNA16"
"12652","MIR6516"
"12653","RNU4-47P"
"12654","CYCSP40"
"12655","IGHG1"
"12656","RPS3AP47"
"12657","MIR4316"
"12658","TMEM62"
"12659","SMCO4P1"
"12660","MEIOC"
"12661","IGHVIII-47-1"
"12662","TLCD4-RWDD3"
"12663","IGHV1-45"
"12664","ANXA5"
"12665","IGHV3-50"
"12666","IGHV3-53"
"12667","AHSP"
"12668","IGHG4"
"12669","FMO11P"
"12670","FIRRM"
"12671","ALG1L15P"
"12672","CCDC43"
"12673","HGD"
"12674","IGHV1-68"
"12675","IGHVII-40-1"
"12676","IGHV3-54"
"12677","IGHV7-56"
"12678","RBMS2P1"
"12679","VN1R64P"
"12680","VN1R65P"
"12681","IGHVIII-2-1"
"12682","IGHVII-74-1"
"12683","CPM"
"12684","IGHVII-44-2"
"12685","KRBOX5P1"
"12686","LL22NC03-63E9.3"
"12687","IGHVIII-5-1"
"12688","VN1R66P"
"12689","IGLV2-34"
"12690","IGHVIII-67-3"
"12691","IGLV2-33"
"12692","IGHV3-64"
"12693","CDIPT"
"12694","MYO5B"
"12695","IGLV3-32"
"12696","IGLV3-31"
"12697","IGHV3-65"
"12698","IGLV3-30"
"12699","BCRP4"
"12700","GGTLC2"
"12701","LRRC14B"
